SKU,Comments
CRSF100RR,"Standalone — no extra item"
CRSF100SBM,"Standalone — no extra item"
CRSF100SN,"Standalone — no extra item"
CRSF100SWH,"Standalone — no extra item"
CRSF100WH,"Standalone — no extra item"
CRSF100YB,"Standalone — no extra item"
CRSF100YE,"Standalone — no extra item"
CRSF108BM,"Standalone — no extra item"
CRSF108CH,"Standalone — no extra item"
CRSF108CO,"Standalone — no extra item"
CRSF108FG,"Standalone — no extra item"
CRSF108GB,"Standalone — no extra item"
CRSF108RO,"Standalone — no extra item"
CRSF108SN,"Standalone — no extra item"
CRSF108WH,"Standalone — no extra item"
CRSF108YB,"Standalone — no extra item"
CRSF110BM,"Standalone — no extra item"
CRSF1202BM,"Standalone — no extra item"
CRSF1202CH,"Standalone — no extra item"
CRSF1202CO,"Standalone — no extra item"
CRSF1202FG,"Standalone — no extra item"
CRSF1202GB,"Standalone — no extra item"
CRSF1202H30BM,"Standalone — no extra item"
CRSF1202RO,"Standalone — no extra item"
CRSF1202SN,"Standalone — no extra item"
CRSF1202WH,"Standalone — no extra item"
CRSF1202YB,"Standalone — no extra item"
CRSF1203BM,"Standalone — no extra item"
CRSF1203CH,"Standalone — no extra item"
CRSF1203CO,"Standalone — no extra item"
CRSF1203FG,"Standalone — no extra item"
CRSF1203GB,"Standalone — no extra item"
CRSF1203RO,"Standalone — no extra item"
CRSF1203SN,"Standalone — no extra item — not on LEDSone, Electricalsone listing"
CRSF1203WH,"Standalone — no extra item"
CRSF1203YB,"Standalone — no extra item"
CRSF1204BM,"Standalone — no extra item"
CRSF1204CH,"Standalone — no extra item"
CRSF1204CO,"Standalone — no extra item"
CRSF1204FG,"Standalone — no extra item"
CRSF1204GB,"Standalone — no extra item"
CRSF1204RO,"Standalone — no extra item"
CRSF1204SN,"Standalone — no extra item"
CRSF1204WH,"Standalone — no extra item"
CRSF1204YB,"Standalone — no extra item"
CRSF1205BM,"Standalone — no extra item"
CRSF1205CH,"Standalone — no extra item"
CRSF1205CO,"Standalone — no extra item"
CRSF1205FG,"Standalone — no extra item"
CRSF1205GB,"Standalone — no extra item"
CRSF1205RO,"Standalone — no extra item"
CRSF1205SN,"Standalone — no extra item"
CRSF1205WH,"Standalone — no extra item"
CRSF1205YB,"Standalone — no extra item"
CRSF1206BM,"Standalone — no extra item"
CRSF1206CH,"Standalone — no extra item"
CRSF1206CO,"Standalone — no extra item"
CRSF1206FG,"Standalone — no extra item"
CRSF1206GB,"Standalone — no extra item"
CRSF1206RO,"Standalone — no extra item"
CRSF1206SN,"Standalone — no extra item"
CRSF1206WH,"Standalone — no extra item"
CRSF1206YB,"Standalone — no extra item"
CRSF1207BM,"Standalone — no extra item"
CRSF1207CH,"Standalone — no extra item"
CRSF1207CO,"Standalone — no extra item"
CRSF1207FG,"Standalone — no extra item"
CRSF1207GB,"Standalone — no extra item"
CRSF1207RO,"Standalone — no extra item"
CRSF1207SN,"Standalone — no extra item — not on LEDSone, Electricalsone listing"
CRSF1207WH,"Standalone — no extra item"
CRSF1207YB,"Standalone — no extra item"
CRSF1208BM,"Standalone — no extra item"
CRSF1208CH,"Standalone — no extra item"
CRSF1208CO,"Standalone — no extra item"
CRSF1208FG,"Standalone — no extra item"
CRSF1208GB,"Standalone — no extra item"
CRSF1208RO,"Standalone — no extra item"
CRSF1208WH,"Standalone — no extra item"
CRSF1208YB,"Standalone — no extra item"
CRSF1209BM,"Standalone — no extra item"
CRSF1209CH,"Standalone — no extra item"
CRSF1209CO,"Standalone — no extra item"
CRSF1209FG,"Standalone — no extra item"
CRSF1209GB,"Standalone — no extra item"
CRSF1209RO,"Standalone — no extra item"
CRSF1209SN,"Standalone — no extra item"
CRSF1209WH,"Standalone — no extra item"
CRSF1209YB,"Standalone — no extra item"
CRSF120BC,"Standalone — no extra item — not on LEDSone, Vintagelite listing"
CRSF120BM,"Standalone — no extra item"
CRSF120BS,"Standalone — no extra item — not on LEDSone, Vintagelite listing"
CRSF120CH,"Standalone — no extra item"
CRSF120CO,"Standalone — no extra item"
CRSF120FG,"Standalone — no extra item"
CRSF120GB,"Standalone — no extra item"
CRSF120HBM,"Not listed on Shopify"
CRSF120OSBM,"Combined with Copper 10mm Hole Switch Plate (PCSWRG10CO)"
CRSF120RO,"Standalone — no extra item"
CRSF120RR,"Standalone — no extra item — not on LEDSone, Vintagelite listing"
CRSF120SN,"Standalone — no extra item"
CRSF120SWH,"Not listed on Shopify"
CRSF120WH,"Standalone — no extra item"
CRSF120YB,"Standalone — no extra item"
CRSF125BM,"Standalone — no extra item"
CRSF125CH,"Standalone — no extra item"
CRSF125CO,"Standalone — no extra item"
CRSF125RO,"Standalone — no extra item"
CRSF125SN,"Standalone — no extra item"
CRSF125WH,"Not listed on Shopify"
CRSF125YB,"Standalone — no extra item"
CRSF195WD,"Combined with 60mm Light Fixture Mounting Bracket (CBSF60) and 1m PVC black full thin holder pendant set (WSWS1PFTBM) (3 combos)"
CRSF195WO,"Combined with 75mm Black turning holder (LHTPE27JBM)"
CRSF2003BB,"Standalone — no extra item"
CRSF2003BC,"Standalone — no extra item"
CRSF2003BM,"Standalone — no extra item"
CRSF2003BS,"Standalone — no extra item"
CRSF2003CH,"Standalone — no extra item"
CRSF2003CO,"Standalone — no extra item"
CRSF2003FG,"Standalone — no extra item"
CRSF2003GB,"Standalone — no extra item"
CRSF2003RO,"Standalone — no extra item"
CRSF2003RR,"Standalone — no extra item"
CRSF2003SE,"Standalone — no extra item — not on LEDSone, Vintagelite listing"
CRSF2003SN,"Standalone — no extra item"
CRSF2003WH,"Standalone — no extra item"
CRSF2003YB,"Standalone — no extra item"
CRSF220BM,"Standalone — no extra item"
CRSF220CO,"Standalone — no extra item"
CRSF220SN,"Standalone — no extra item"
CRSF220WH,"Standalone — no extra item"
CRSF220YB,"Standalone — no extra item"
CRSF3006BM,"Not listed on Shopify"
CRSFM110080BM,"Standalone — no extra item"
CRSFM110080CH,"Standalone — no extra item"
CRSFM110080CO,"Standalone — no extra item"
CRSFM110080SN,"Standalone — no extra item"
CRSFM110080WH,"Standalone — no extra item"
CRSFM110080YB,"Standalone — no extra item"
CRSFM210080BM,"Combined with 95mm Light Fixture Mounting Bracket (CBSF95)"
CRSFM210080CH,"Combined with 95mm Light Fixture Mounting Bracket (CBSF95)"
CRSFM210080CO,"Combined with 95mm Light Fixture Mounting Bracket (CBSF95)"
CRSFM210080SN,"Combined with 95mm Light Fixture Mounting Bracket (CBSF95)"
CRSFM210080WH,"Combined with 95mm Light Fixture Mounting Bracket (CBSF95)"
CRSFM210080YB,"Combined with 95mm Light Fixture Mounting Bracket (CBSF95)"
CRSFML100BM,"Standalone — no extra item"
CRSFML100YB,"Standalone — no extra item"
CRSFR80BM,"Standalone — no extra item"
CRSFR80CH,"Standalone — no extra item"
CRSFR80CO,"Standalone — no extra item"
CRSFR80FG,"Standalone — no extra item"
CRSFR80RO,"Standalone — no extra item"
CRSFR80SN,"Standalone — no extra item"
CRSFR80WH,"Standalone — no extra item"
CRSFR80YB,"Standalone — no extra item"
CRSFWL1HWN,"Standalone — no extra item"
CRSFWL2HWN,"Standalone — no extra item"
CRSFWR1CHWN,"Standalone — no extra item"
CRSFWR1CHWO,"Standalone — no extra item"
CRSFWR1LPWO,"Standalone — no extra item"
CRSFWR1THWO,"Standalone — no extra item"
CRSFX120BM,"Standalone — no extra item"
CRSFX120YB,"Standalone — no extra item"
LSACY195BG,"Combined with Black Vintage Ceiling Rose (CRSF100BM)"
LSAFT200BG,"Combined with Black Vintage Ceiling Rose (CRSF100BM) and 30mm Pendant Light Fitting Black (PHRB1PBR30BM)"
LSAHQS150BG,"Not listed on Shopify"
LSBG136AR,"Combined with Metal Lamp Shade Cap French Gold (SCRN70FG)"
LSBL140RO,"Standalone — no extra item — not on LEDSone, Electricalsone listing"
LSBL140SN,"Standalone — no extra item — not on LEDSone, Electricalsone listing"
LSBS160BL,"Standalone — no extra item"
LSBS160BM,"Standalone — no extra item"
LSBS160BU,"Standalone — no extra item"
LSBS160GR,"Standalone — no extra item"
LSBS160GY,"Standalone — no extra item"
LSBS160NB,"Standalone — no extra item — not on LEDSone, Electricalsone listing"
LSBS160OR,"Standalone — no extra item"
LSBS160RE,"Standalone — no extra item"
LSBS160WH,"Standalone — no extra item"
LSBS160YE,"Standalone — no extra item"
LSCG185AR,"Combined with Metal Lamp Shade Cap French Gold (SCRN70FG)"
LSCO335BM,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCO335DG,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCO335GY,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCO335OR,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCO335WH,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCO335YE,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCO360BM,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCO360DG,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCO360GY,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCO360OR,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCO360WH,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCO360YE,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCP150BA,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCP150BD,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCP150BL,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCP150BU,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCP150GR,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCP150GY,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCP150OR,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCP150PI,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCP150RE,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCP150YE,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCY1C12FG,"Combined with Vintage Ceiling Rose With Cord Grip (CRSF100FG)"
LSCY210BC,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCY210BG,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCY210BM,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCY210BS,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCY210RR,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCY290AA,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCY290AT,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCY290BB,"Standalone — no extra item"
LSCY290BC,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCY290BG,"Standalone — no extra item"
LSCY290BI,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCY290BL,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCY290BM,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCY290BS,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCY290BT,"Combined with Single Pendant Light Fitting (PHUH1HETBM)"
LSCY290BU,"Standalone — no extra item"
LSCY290CB,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCY290CH,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCY290CO,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCY290CY,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCY290DBI,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCY290DBT,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCY290DBU,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCY290DCB,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCY290DGD,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCY290DGR,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCY290DGY,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCY290DNB,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCY290DOR,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCY290DRE,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCY290DWH,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCY290DYE,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCY290GB,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCY290GC,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCY290GR,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCY290GY,"Standalone — no extra item"
LSCY290NB,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCY290OR,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCY290RE,"Standalone — no extra item"
LSCY290RO,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCY290RR,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCY290SN,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCY290WH,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCY290YB,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCY290YE,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCYRO120BM,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCYRO120GD,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCYRO120WH,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSCYRO200BM,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH) — not on LEDSone, LEDSone DE listing (not in pounds)"
LSCYRO200GD,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH) — not on LEDSone, LEDSone DE listing (not in pounds)"
LSCYRO200WH,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH) — not on LEDSone, LEDSone DE listing (not in pounds)"
LSCYRO300BM,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH) — not on LEDSone, LEDSone DE listing (not in pounds)"
LSCYRO300GD,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH) — not on LEDSone, LEDSone DE listing (not in pounds)"
LSCYRO300WH,"Sold as 2 Pack, combined with Universal Reducer Plate E27 to B22 (RPR44WH2PK)"
LSDM220CH,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSDM220CO,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSDM220FG,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSDM220GB,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSDM220GS,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSDM220RO,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSDM220SN,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSDM220YB,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSDO210BB,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSDO210BC,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSDO210BG,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSDO210BI,"Standalone — no extra item"
LSDO210BL,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSDO210BM,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSDO210BS,"Standalone — no extra item"
LSDO210CB,"Standalone — no extra item"
LSDO210GR,"Standalone — no extra item"
LSDO210GY,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSDO210NB,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSDO210OR,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSDO210RE,"Standalone — no extra item"
LSDO210RR,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSDO210WH,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSDO210YE,"Standalone — no extra item"
LSDO300BI,"Standalone — no extra item — not on LEDSone, Electricalsone listing"
LSDO300BM,"Standalone — no extra item — not on LEDSone, Electricalsone listing"
LSDO300BT,"Standalone — no extra item — not on LEDSone, Electricalsone listing"
LSDO300BU,"Standalone — no extra item — not on LEDSone, Electricalsone listing"
LSDO300CB,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSDO300CO,"Standalone — no extra item — not on LEDSone, Electricalsone listing"
LSDO300GY,"Standalone — no extra item — not on LEDSone, Electricalsone listing"
LSDO300NB,"Standalone — no extra item — not on LEDSone, Electricalsone listing"
LSDO300OR,"Standalone — no extra item — not on LEDSone, Electricalsone listing"
LSDO300RE,"Standalone — no extra item — not on LEDSone, Electricalsone listing"
LSDO300RO,"Standalone — no extra item — not on LEDSone, Electricalsone listing"
LSDO300SN,"Standalone — no extra item — not on LEDSone, Electricalsone listing"
LSDO300WH,"Standalone — no extra item — not on LEDSone, Electricalsone listing"
LSDO300YB,"Standalone — no extra item — not on LEDSone, Electricalsone listing"
LSDO300YE,"Standalone — no extra item — not on LEDSone, Electricalsone listing"
LSDO400BG,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH) — not on LEDSone, LEDSone US listing (not in pounds)"
LSDO400BI,"Standalone — no extra item — not on LEDSone, Vintagelite listing"
LSDO400BM,"Standalone — no extra item — not on LEDSone, Vintagelite listing"
LSDO400BT,"Standalone — no extra item — not on LEDSone, Vintagelite listing"
LSDO400BY,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSDO400BYI,"Standalone — no extra item"
LSDO400CB,"Standalone — no extra item — not on LEDSone, Vintagelite listing"
LSDO400GY,"Standalone — no extra item — not on LEDSone, Vintagelite listing"
LSDO400NB,"Standalone — no extra item — not on LEDSone, Vintagelite listing"
LSDO400OR,"Standalone — no extra item — not on LEDSone, Vintagelite listing"
LSDO400RE,"Standalone — no extra item — not on LEDSone, Vintagelite listing"
LSDO400WH,"Standalone — no extra item — not on LEDSone, Vintagelite listing"
LSDO400YE,"Standalone — no extra item — not on LEDSone, Vintagelite listing"
LSDT130BM,"Standalone — no extra item — not on LEDSone, Electricalsone listing"
LSDW100WH,"Standalone — no extra item — not on LEDSone, Electricalsone listing"
LSEL400BM,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSEL400GR,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSEL400GY,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSEL400OR,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSEL400WH,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSEL400YE,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSFC160BT,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH_1)"
LSFC160BU,"Standalone — no extra item"
LSFC160OW,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH_1)"
LSFC220GD,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSFC280AS,"Standalone — no extra item"
LSFC280BT,"Standalone — no extra item"
LSFC280GT,"Standalone — no extra item"
LSFC280SY,"Standalone — no extra item"
LSFC280WH,"Standalone — no extra item"
LSFC300BG,"Standalone — no extra item — not on LEDSone, LEDSone DE listing (not in pounds)"
LSFC300OW,"Standalone — no extra item — not on LEDSone, LEDSone DE listing (not in pounds)"
LSFC300TP,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSFC300YP,"Standalone — no extra item — not on LEDSone, LEDSone DE listing (not in pounds)"
LSFG210AR,"Standalone — no extra item — not on LEDSone, Electricalsone listing"
LSFT220BB,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
LSFT220BC,"Standalone — no extra item — not on LEDSone, Vintagelite listing"
LSFT220BG,"Combined with Universal Reducer Plate E27 to B22 (RPR44WH)"
